snapshot_date,days,ranking_name,rank_no,stock_id,score,total_score,close,updated_at
2026-07-03,5,foreign_buy,9,2105,69.8,54.51,32.15,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,10,1802,33.83,15.49,68.8,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,11,2409,15.64,4.39,30.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,12,2324,-12.1,-14.53,34.95,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,13,1301,48.96,10.68,62.1,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,14,2812,69.93,56.67,20.4,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,15,4938,20.04,16.0,83.6,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,16,2634,55.86,36.66,60.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,17,1312,55.96,29.77,15.1,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,18,8033,62.74,35.89,204.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,19,1717,76.94,42.53,81.6,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,20,2301,34.23,29.17,219.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,21,5483,76.45,38.8,210.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,22,1303,110.71,67.62,197.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,23,1313,72.81,38.04,14.3,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,24,6182,69.77,22.54,163.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,25,2834,70.1,49.41,17.95,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,26,6239,21.36,5.51,338.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,27,2515,85.02,58.71,14.3,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,28,3005,6.25,3.87,107.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,29,3036,14.55,-1.79,221.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,30,2603,53.69,42.91,195.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,31,2406,46.88,33.34,41.15,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,32,3605,62.31,45.06,88.2,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,33,6257,88.97,45.38,254.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,34,2371,56.0,58.37,28.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,35,2449,61.64,42.91,335.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,36,2609,54.39,48.64,52.4,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,37,2323,67.88,44.75,12.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,38,2615,77.84,49.88,82.8,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,39,3264,68.08,24.1,247.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,40,4989,87.0,42.42,110.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,41,2327,9.31,-7.88,1045.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,42,1785,105.42,62.61,156.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,43,1310,43.76,17.94,11.4,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,44,1810,80.19,39.43,23.25,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,45,4526,56.57,47.1,41.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,46,6176,-6.94,-10.84,90.3,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,47,5371,25.38,14.94,93.1,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,48,6005,4.3,-10.07,38.15,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,49,1710,21.48,1.4,18.85,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,50,4743,49.06,36.62,57.3,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,1,2887,108.78,75.73,34.15,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,2,1303,110.71,67.62,197.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,3,2105,69.8,54.51,32.15,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,4,6182,69.77,22.54,163.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,5,5483,76.45,38.8,210.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,6,2634,55.86,36.66,60.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,7,1717,76.94,42.53,81.6,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,8,2382,92.22,79.44,377.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,9,2449,61.64,42.91,335.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,10,2371,56.0,58.37,28.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,11,2609,54.39,48.64,52.4,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,12,2323,67.88,44.75,12.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,13,2615,77.84,49.88,82.8,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,14,1216,84.92,70.39,76.3,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,15,1785,105.42,62.61,156.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,16,3227,82.7,72.95,235.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,17,1810,80.19,39.43,23.25,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,18,5371,25.38,14.94,93.1,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,19,2547,109.78,84.89,11.55,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,20,2851,85.09,64.41,38.45,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,21,1409,70.18,18.55,31.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,22,1815,28.6,29.42,101.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,23,3017,135.81,103.07,2760.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,24,2103,80.91,37.85,23.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,25,3055,75.41,32.41,152.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,26,8028,89.06,56.02,334.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,27,5880,49.76,35.9,24.7,2026-07-05T15:35:29
