as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,7,台新,9B00,318.0,449.0,131.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,8,摩根大通,8440,1269.0,1198.0,71.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,8,大和國泰,8890,40.0,168.0,128.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,9,富邦-台中,965K,117.0,48.0,69.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,9,群益金鼎,9100,646.0,773.0,127.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,10,美林,1440,576.0,511.0,65.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,10,華南永昌,9300,67.0,138.0,71.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,1,國票-敦北法人,779c,434.0,68.0,366.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,1,國泰-忠孝,8887,3.0,365.0,362.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,2,台灣摩根士丹利,1470,472.0,122.0,350.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,2,凱基-台北,9268,445.0,703.0,258.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,3,新加坡商瑞銀,1650,459.0,157.0,302.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,3,群益金鼎-中港,9138,0.0,195.0,195.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,4,摩根大通,8440,512.0,309.0,203.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,4,中國信託-松江,6167,0.0,185.0,185.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,5,第一金-忠孝,538D,168.0,5.0,163.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,5,聯邦-興中,8587,17.0,142.0,125.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,6,美林,1440,168.0,35.0,133.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,6,兆豐證券,7000,0.0,117.0,117.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,7,第一金,5380,102.0,0.0,102.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,7,兆豐-天母,700L,0.0,81.0,81.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,8,統一-內湖,585b,111.0,25.0,86.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,8,美商高盛,1480,496.0,571.0,75.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,9,聯邦-三重,8585,84.0,0.0,84.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,9,國泰-館前,888A,4.0,74.0,70.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,buy,10,元大-敦南,989P,67.0,0.0,67.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2832,台產,sell,10,京城,8490,0.0,70.0,70.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2832&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,buy,1,台灣摩根士丹利,1470,1464.0,249.0,1215.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,sell,1,美好,5260,0.0,1289.0,1289.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,buy,2,富邦-港都,962Q,759.0,12.0,747.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,sell,2,元大證券,9800,271.0,1051.0,780.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,buy,3,凱基-台北,9268,1285.0,785.0,500.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,sell,3,永豐金-竹科,9A9X,14.0,601.0,587.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,buy,4,臺銀,1040,518.0,27.0,491.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,8415,大國鋼,sell,4,美商高盛,1480,629.0,1097.0,468.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=8415&e=2026-6-16&f=2026-7-15
